dates,number_of_marriage
2023-10-30,15
2019-11-18,14
2011-01-15,10
2015-05-28,8
2023-11-15,10
2013-08-07,8
2022-10-19,6
2021-05-07,16
2014-05-22,9
2018-02-17,13
2017-01-28,8
2022-01-19,6
2023-01-31,18
2012-02-13,9
2023-04-11,14
2011-11-08,6
2014-02-01,9
2012-05-21,10
2020-07-30,7
2019-02-14,10
2014-07-05,9
2012-09-27,8
2012-12-12,9
2014-12-20,17
2022-03-29,13
2016-02-20,21
2013-07-02,12
2021-09-14,13
2013-10-08,17
2016-05-22,17
2019-11-07,13
2018-11-02,10
2022-10-03,8
2019-11-28,13
2023-03-11,8
2021-06-05,9
2011-10-23,9
2016-05-08,12
2013-11-24,11
2011-04-23,11
2014-04-01,13
2017-02-05,14
2014-11-21,8
2016-05-25,11
2022-11-21,11
2017-05-10,15
2017-07-13,10
2019-06-03,5
2019-07-10,10
2012-04-19,6
2018-04-14,12
2019-12-30,7
2019-04-19,5
2016-11-18,13
2013-02-26,6
2014-02-01,19
2016-12-29,10
2021-07-28,11
2023-12-06,13
2019-02-19,10
2012-08-14,11
2016-09-04,11
2021-09-28,11
2017-12-29,5
2023-06-22,6
2018-09-19,7
2017-09-14,10
2022-04-24,13
2015-05-15,7
2017-01-16,11
2022-03-18,7
2011-08-26,11
2022-06-25,8
2018-06-16,8
2023-05-21,10
2019-08-16,12
2020-04-22,20
2022-07-08,6
2016-08-28,10
2023-05-11,5
2017-01-13,11
2019-10-10,13
2013-07-24,9
2011-05-13,8
2017-03-22,9
2018-10-04,10
2022-03-18,7
2016-05-17,9
2015-12-18,12
2015-02-10,5
2011-11-15,11
2013-07-10,6
2015-10-16,9
2013-04-15,14
2017-04-08,12
2017-07-24,14
2022-09-19,10
2011-07-04,16
2019-05-31,15
2011-07-09,13
